"DistCoast","Phase","Area","Count","Depth","Year","Month","Day","YearMonth","XPos","YPos","TransectID"
2.869,"A",0.956,0,1.14,2000,1,14,"2000/1",665823.4388,6055525.907,"20000114.t6"
3.044,"A",0.956,0,0.5,2000,1,14,"2000/1",665780.9047,6055018.728,"20000114.t6"
2.91,"A",0.956,0,1.22,2000,1,14,"2000/1",665924.3941,6054529.32,"20000114.t6"
2.802,"A",0.956,0,1.5,2000,1,14,"2000/1",666011.1805,6054036.483,"20000114.t6"
2.734,"A",0.956,0,1.71,2000,1,14,"2000/1",666059.3783,6053538.471,"20000114.t6"
2.758,"A",0.956,0,1.96,2000,1,14,"2000/1",666108.9871,6053040.876,"20000114.t6"
2.909,"A",0.956,0,2.33,2000,1,14,"2000/1",666198.8983,6052547.236,"20000114.t6"
3.062,"A",0.956,0,4.06,2000,1,14,"2000/1",666212.9953,6052046.024,"20000114.t6"
3.264,"A",0.956,0,4.83,2000,1,14,"2000/1",666202.5602,6051544.844,"20000114.t6"
3.559,"A",0.956,70,5.39,2000,1,14,"2000/1",666258.6563,6051047.088,"20000114.t6"
3.869,"A",0.956,109,5.77,2000,1,14,"2000/1",666280.773,6050547.321,"20000114.t6"
4.2,"A",0.956,15,5.55,2000,1,14,"2000/1",666289.1234,6050047.191,"20000114.t6"
4.542,"A",0.956,0,5.59,2000,1,14,"2000/1",666267.6409,6049546.849,"20000114.t6"
4.945,"A",0.956,0,5.28,2000,1,14,"2000/1",666301.6172,6049047.324,"20000114.t6"
5.344,"A",0.956,0,5.88,2000,1,14,"2000/1",666299.3147,6048547.163,"20000114.t6"
5.761,"A",0.956,0,6.31,2000,1,14,"2000/1",666301.6618,6048047.089,"20000114.t6"
6.194,"A",0.956,0,6.66,2000,1,14,"2000/1",666309.6374,6047546.532,"20000114.t6"
6.611,"A",0.956,0,7.43,2000,1,14,"2000/1",666266.4907,6047047.721,"20000114.t6"
7.058,"A",0.956,0,10.06,2000,1,14,"2000/1",666263.1277,6046547.038,"20000114.t6"
7.489,"A",0.956,0,11.85,2000,1,14,"2000/1",666213.0956,6046049.096,"20000114.t6"
7.921,"A",0.956,0,13.27,2000,1,14,"2000/1",666154.256,6045552.221,"20000114.t6"
8.369,"A",0.956,0,14.82,2000,1,14,"2000/1",666116.9767,6045053.457,"20000114.t6"
8.823,"A",0.956,0,16.4,2000,1,14,"2000/1",666076.5482,6044554.328,"20000114.t6"
9.296,"A",0.956,0,18.43,2000,1,14,"2000/1",666075.7495,6044053.306,"20000114.t6"
9.776,"A",0.956,0,19.71,2000,1,14,"2000/1",666085.7466,6043551.771,"20000114.t6"
10.272,"A",0.956,0,20.62,2000,1,14,"2000/1",666162.0086,6043055.495,"20000114.t6"
10.764,"A",0.956,0,21.75,2000,1,14,"2000/1",666221.8402,6042558.751,"20000114.t6"
11.256,"A",0.956,0,22.56,2000,1,14,"2000/1",666272.1631,6042060.423,"20000114.t6"
11.747,"A",0.956,0,23.89,2000,1,14,"2000/1",666304.6927,6041559.212,"20000114.t6"
12.224,"A",0.956,0,25.11,2000,1,14,"2000/1",666278.0928,6041057.237,"20000114.t6"
12.677,"A",0.956,0,25.11,2000,1,14,"2000/1",666188.0453,6040562.587,"20000114.t6"
13.146,"A",0.956,0,25.07,2000,1,14,"2000/1",666135.0021,6040065.206,"20000114.t6"
13.619,"A",0.956,0,25.13,2000,1,14,"2000/1",666093.2032,6039566.634,"20000114.t6"
14.103,"A",0.956,0,24.76,2000,1,14,"2000/1",666082.7975,6039066.371,"20000114.t6"
14.59,"A",0.956,22,24.6,2000,1,14,"2000/1",666078.3276,6038565.931,"20000114.t6"
15.063,"A",0.956,0,24.65,2000,1,14,"2000/1",666018.3308,6038068.554,"20000114.t6"
15.549,"A",0.956,0,24.3,2000,1,14,"2000/1",666000.2311,6037568.742,"20000114.t6"
16.032,"A",0.956,0,24.49,2000,1,14,"2000/1",665974.6487,6037069.401,"20000114.t6"
16.512,"A",0.956,0,24.47,2000,1,14,"2000/1",665936.2851,6036570.625,"20000114.t6"
17.659,"A",0.956,15,24.07,2000,1,14,"2000/1",668113.7695,6035927.869,"20000114.t7"
17.175,"A",0.956,0,24.09,2000,1,14,"2000/1",668098.192,6036428.375,"20000114.t7"
16.695,"A",0.956,0,23.87,2000,1,14,"2000/1",668088.6042,6036928.489,"20000114.t7"
16.231,"A",0.956,0,24.06,2000,1,14,"2000/1",668131.3848,6037428.385,"20000114.t7"
15.756,"A",0.956,0,24.08,2000,1,14,"2000/1",668134.996,6037930.336,"20000114.t7"
15.261,"A",0.956,0,24.13,2000,1,14,"2000/1",668056.3041,6038426.522,"20000114.t7"
14.761,"A",0.956,0,24.63,2000,1,14,"2000/1",667959.0989,6038922.23,"20000114.t7"
14.314,"A",0.956,0,24.6,2000,1,14,"2000/1",668037.072,6039425.129,"20000114.t7"
13.839,"A",0.956,0,24.49,2000,1,14,"2000/1",668021.5911,6039925.441,"20000114.t7"
13.349,"A",0.956,0,24.07,2000,1,14,"2000/1",667946.254,6040421.938,"20000114.t7"
12.876,"A",0.956,0,23.12,2000,1,14,"2000/1",667923.2119,6040921.837,"20000114.t7"
12.418,"A",0.956,0,22.75,2000,1,14,"2000/1",667935.6481,6041422.391,"20000114.t7"
11.95,"A",0.956,0,21.18,2000,1,14,"2000/1",667912.2134,6041922.003,"20000114.t7"
11.491,"A",0.956,0,19.93,2000,1,14,"2000/1",667904.113,6042421.96,"20000114.t7"
11.028,"A",0.956,0,19.35,2000,1,14,"2000/1",667884.2721,6042922.109,"20000114.t7"
10.592,"A",0.956,0,18.33,2000,1,14,"2000/1",667918.0789,6043421.796,"20000114.t7"
10.139,"A",0.956,0,16.97,2000,1,14,"2000/1",667903.3018,6043922.116,"20000114.t7"
9.711,"A",0.956,0,15.54,2000,1,14,"2000/1",667929.01,6044421.716,"20000114.t7"
9.282,"A",0.956,0,14.01,2000,1,14,"2000/1",667938.3782,6044921.822,"20000114.t7"
8.875,"A",0.956,0,12.63,2000,1,14,"2000/1",667974.7235,6045420.725,"20000114.t7"
8.48,"A",0.956,0,10.74,2000,1,14,"2000/1",668013.2032,6045919.311,"20000114.t7"
8.112,"A",0.956,0,9.35,2000,1,14,"2000/1",668077.1092,6046417.293,"20000114.t7"
7.701,"A",0.956,0,8.21,2000,1,14,"2000/1",668051.3435,6046918.429,"20000114.t7"
7.329,"A",0.956,15,7.09,2000,1,14,"2000/1",668067.5674,6047418.759,"20000114.t7"
6.924,"A",0.956,0,6.75,2000,1,14,"2000/1",668012.1634,6047917.817,"20000114.t7"
6.583,"A",0.956,35,6.26,2000,1,14,"2000/1",668027.8736,6048418.141,"20000114.t7"
6.255,"A",0.956,58,5.91,2000,1,14,"2000/1",668031.1038,6048918.32,"20000114.t7"
5.913,"A",0.956,22,5.51,2000,1,14,"2000/1",667991.1245,6049417.639,"20000114.t7"
5.638,"A",0.956,16,5.5,2000,1,14,"2000/1",668004.2974,6049917.908,"20000114.t7"
5.394,"A",0.956,24,6.11,2000,1,14,"2000/1",668016.1562,6050418.236,"20000114.t7"
5.151,"A",0.956,121,5.38,2000,1,14,"2000/1",668001.834,6050918.748,"20000114.t7"
4.874,"A",0.956,49,4.8,2000,1,14,"2000/1",667911.2334,6051414.387,"20000114.t7"
4.718,"A",0.956,6,4.13,2000,1,14,"2000/1",667908.6736,6051915.14,"20000114.t7"
4.611,"A",0.956,0,2.27,2000,1,14,"2000/1",667905.2473,6052415.219,"20000114.t7"
4.503,"A",0.956,0,1.9,2000,1,14,"2000/1",667850.2901,6052914.832,"20000114.t7"
4.577,"A",0.956,0,1.55,2000,1,14,"2000/1",667922.733,6053414.53,"20000114.t7"
4.508,"A",0.956,0,1.38,2000,1,14,"2000/1",667956.0773,6053918.619,"20000114.t7"
4.018,"A",0.956,0,1.05,2000,1,14,"2000/1",667826.1919,6054410.666,"20000114.t7"
3.52,"A",0.956,0,1.18,2000,1,14,"2000/1",667792.5437,6054909.838,"20000114.t7"
3.028,"A",0.956,0,2.67,2000,1,14,"2000/1",667726.21,6055406.647,"20000114.t7"
2.53,"A",0.956,0,1.23,2000,1,14,"2000/1",667717.0702,6055907.438,"20000114.t7"
2.035,"A",0.956,0,0.8,2000,1,14,"2000/1",667678.2588,6056408.803,"20000114.t7"
1.533,"A",0.956,0,1.38,2000,1,14,"2000/1",667744.5428,6056907.389,"20000114.t7"
1.035,"A",0.956,0,0.5,2000,1,14,"2000/1",667770.6752,6057406.788,"20000114.t7"
0.533,"A",0.956,0,0.5,2000,1,14,"2000/1",667840.7735,6057903.418,"20000114.t7"
0.114,"A",0.956,0,0.6,2000,1,14,"2000/1",667797.3211,6058407.102,"20000114.t7"
0.183,"A",0.956,0,1.63,2000,1,14,"2000/1",667855.5639,6058905.592,"20000114.t7"
0.174,"A",0.956,0,0.88,2000,1,14,"2000/1",668001.186,6059392.324,"20000114.t7"
0.043,"A",0.956,0,0.82,2000,1,14,"2000/1",667922.3271,6059775.97,"20000114.t7"
0.183,"A",0.429102512,0,0.36,2000,1,14,"2000/1",670069.2068,6060442.563,"20000114.t8"
0.491,"A",0.956,0,1.14,2000,1,14,"2000/1",670016.3291,6060082.253,"20000114.t8"
0.823,"A",0.956,0,2.13,2000,1,14,"2000/1",669976.4127,6059579.832,"20000114.t8"
1.289,"A",0.956,0,0.86,2000,1,14,"2000/1",670069.1166,6059082.488,"20000114.t8"
1.401,"A",0.956,0,1.36,2000,1,14,"2000/1",670127.1009,6058585.632,"20000114.t8"
1.671,"A",0.956,0,0.76,2000,1,14,"2000/1",670174.2637,6058087.783,"20000114.t8"
2.026,"A",0.956,0,1.43,2000,1,14,"2000/1",670209.9003,6057588.952,"20000114.t8"
2.426,"A",0.956,0,1.33,2000,1,14,"2000/1",670227.4543,6057089.047,"20000114.t8"
2.845,"A",0.956,0,1.92,2000,1,14,"2000/1",670271.6861,6056590.812,"20000114.t8"
3.242,"A",0.956,0,1.5,2000,1,14,"2000/1",670292.9469,6056091.166,"20000114.t8"
3.644,"A",0.956,0,2.35,2000,1,14,"2000/1",670310.2741,6055591.43,"20000114.t8"
4.075,"A",0.956,0,2.28,2000,1,14,"2000/1",670341.703,6055092.25,"20000114.t8"
